學餐名稱,餐廳名稱,平日營業時間,週六營業時間,週日營業時間
米羅,早餐,05:30～12:00,05:30～12:00,05:30～12:00
米羅,陽春麵,11:00～20:00,11:00～20:00,11:00～20:00
米羅,鍋燒麵,11:00～20:00,11:00～20:00,11:00～20:00
米羅,鍋貼,11:00～20:00,11:00～20:00,11:00～20:00
米羅,飲料,10:00～20:00,10:00～20:00,10:00～20:00
米羅,自助餐,11:00～14:00、16:30～20:00,公休,
米羅,宵夜,17:00～02:00,17:00～02:00,17:00～02:00
E餐,小茶點茶坊(早餐),07:00～13:00,07:00～13:00,07:00～13:00
E餐,滷味,11:00～14:00、17:00～20:00,11:00～14:00、17:00～20:00,公休
E餐,中山河粉,11:00～14:00、17:00～20:00,公休,11:00～14:00、17:00～20:00
E餐,自助餐,11:00～13:30、17:00～19:30,11:00～13:30、17:00～19:30,公休
E餐,古早味麵店,11:00～14:00、17:00～20:00,11:00～14:00、17:00～20:00,
山海樓,林茶,11:00~19:30,公休,公休
山海樓,木易蓋飯,11:00~19:30,公休,公休
山海樓,釜宴,11:00~19:30,公休,公休
山海樓,麵,11:00~19:30,公休,公休
山海樓,老二,11:00~19:30,公休,公休
山海樓,自助餐,11:00~19:30,公休,公休
山海樓,亘味屋,11:00~14:00,公休,公休
